id,title,url,source,published_at,scraped_at,tags,sentiment,sentiment_score,yfin_symbol,published_date
799565d3-440c-4c3d-ba94-39c4d2c35bdc,"🚨 AMA Alert!  

SEBI RIA Rajan Gajariya of TrueNorth Capital is live for an AMA session on Stocktwits! 

Fire away any questions you have about stocks, sectors, indices, or commodities📈

Here: https://stocktwits.onelink.me/Lo6t/vwptmthg",https://t.me/stocktwitsindia/9222,stocktwitsindia,2025-10-24T08:50:46+00:00,2025-10-24T14:34:11.628252,"['stocktwitsindia', 'telegram']",,,,2025-10-24
1d4e534f-42bb-464b-927e-f4a7bfd30591,"Laurus Labs reports strong  Q2 numbers 

Listen to what management has to say on earnings call

LIVE NOW: https://www.stocktwits.com/symbol/LAURUSLABS.NSE/earningscall",https://t.me/stocktwitsindia/9221,stocktwitsindia,2025-10-23T11:43:59+00:00,2025-10-24T14:34:11.628340,"['stocktwitsindia', 'telegram']",,,,2025-10-23
19f88aef-de2c-4b6e-a5a6-f520ffd58913,"Short-term trade ideas from SEBI RAs on Stocktwits 👇   
   
Upside: 29%   
[https://stocktwits.com/AALGOBREATHS/message/633017884](https://stocktwits.com/AALGOBREATHS/message/633017884)   
   
Upside: 20%   
[https://stocktwits.com/Financialindependence/message/632875038](https://stocktwits.com/Financialindependence/message/632875038)   
   
Upside: 18%   
[https://stocktwits.com/Financialindependence/message/632693374](https://stocktwits.com/Financialindependence/message/632693374)   
   
Upside: 15%   
[https://stocktwits.com/frontwave/message/632700659](https://stocktwits.com/frontwave/message/632700659)",https://t.me/stocktwitsindia/9220,stocktwitsindia,2025-10-23T11:18:01+00:00,2025-10-24T14:34:11.628482,"['stocktwitsindia', 'telegram']",,,,2025-10-23
eb9d279a-558c-428b-b961-3ce22f52334c,"Diwali 2025 brokerage picks  ✨🪔

Latest video: https://youtu.be/ZXviQU6p78g",https://t.me/stocktwitsindia/9219,stocktwitsindia,2025-10-19T13:17:04+00:00,2025-10-24T14:34:11.628530,"['stocktwitsindia', 'telegram']",,,,2025-10-19
35a16e63-169b-4256-98d2-eb38e24b05dc,"Dixon Tech Q2 Earnings Call LIVE on Stocktwits

Listen here: https://www.stocktwits.com/symbol/DIXON.NSE/earningscall",https://t.me/stocktwitsindia/9218,stocktwitsindia,2025-10-17T11:08:37+00:00,2025-10-24T14:34:11.628568,"['stocktwitsindia', 'telegram']",,,,2025-10-17
3951e7a7-4679-45c2-8892-5ed2010aa444,"Short-term trade ideas from SEBI RAs on Stocktwits 👇    
    
Upside: 33%    
[https://stocktwits.com/Finkhoz/message/632691784](https://stocktwits.com/Finkhoz/message/632691784)    
    
Upside: 31%    
[https://stocktwits.com/Financialindependence/message/632523336](https://stocktwits.com/Financialindependence/message/632523336)    
    
Upside: 21%    
[https://stocktwits.com/Vinaytaparia/message/632687175](https://stocktwits.com/Vinaytaparia/message/632687175)    
    
Upside: 12%    
[https://stocktwits.com/Financewithpalak/message/632521864](https://stocktwits.com/Financewithpalak/message/632521864)",https://t.me/stocktwitsindia/9217,stocktwitsindia,2025-10-17T09:32:08+00:00,2025-10-24T14:34:11.628680,"['stocktwitsindia', 'telegram']",,,,2025-10-17
628d7990-fb4c-4a39-ac66-17d54a8b6117,"Jio Financial Q2 numbers are out, SEBI RA with detailed analysis",https://t.me/stocktwitsindia/9216,stocktwitsindia,2025-10-17T09:22:49+00:00,2025-10-24T14:34:11.628697,"['stocktwitsindia', 'telegram']",,,,2025-10-17
fe635ad2-705e-4e7b-9e5b-e5ccf59f4985,"Whirlpool India stock price jumps over 10% today, SEBI RA explains why",https://t.me/stocktwitsindia/9215,stocktwitsindia,2025-10-17T09:20:56+00:00,2025-10-24T14:34:11.628710,"['stocktwitsindia', 'telegram']",,,,2025-10-17
a5c94df7-8a6d-4d02-a3a7-455d46de3364,"Polycab betting on higher copper prices, interesting take by SEBI RA 👀",https://t.me/stocktwitsindia/9214,stocktwitsindia,2025-10-17T09:18:32+00:00,2025-10-24T14:34:11.628727,"['stocktwitsindia', 'telegram']",,,,2025-10-17
78b15b4d-b4e1-4ad7-9e64-8ef4e1029fa1,"🚨 Heads up, fam!   

SEBI RIA Cashvisory is hosting an exclusive AMA on Stocktwits. Drop your market doubts and get expert advice.   

Shoot your questions here: https://stocktwits.onelink.me/Lo6t/kjyjywyy",https://t.me/stocktwitsindia/9213,stocktwitsindia,2025-10-17T08:34:50+00:00,2025-10-24T14:34:11.628802,"['stocktwitsindia', 'telegram']",,,,2025-10-17
07369017-c984-4b5d-a1fd-83d6034070b0,"Short-term trade ideas from SEBI RAs on Stocktwits 👇   
   
Upside: 40%   
[https://stocktwits.com/holdwithPriyank/message/632520370](https://stocktwits.com/holdwithPriyank/message/632520370)   
   
Upside: 27%   
[https://stocktwits.com/Financialindependence/message/632363666](https://stocktwits.com/Financialindependence/message/632363666)   
   
Upside: 17%   
[https://stocktwits.com/Japfinserve/message/632357698](https://stocktwits.com/Japfinserve/message/632357698)   
   
Upside: 12%   
[https://stocktwits.com/Financewithpalak/message/632358853](https://stocktwits.com/Financewithpalak/message/632358853)",https://t.me/stocktwitsindia/9212,stocktwitsindia,2025-10-16T14:47:32+00:00,2025-10-24T14:34:11.628910,"['stocktwitsindia', 'telegram']",,,,2025-10-16
048d4bbd-4c7c-421a-aa3f-75c144d791dc,"Infosys beats Q2 estimates, listen to what management has to say on future outlook 

Earnings call LIVE on Stocktwits: https://www.stocktwits.com/symbol/INFY.NSE/earningscall",https://t.me/stocktwitsindia/9211,stocktwitsindia,2025-10-16T12:11:52+00:00,2025-10-24T14:34:11.628957,"['stocktwitsindia', 'telegram']",,,,2025-10-16
